"","prob0","prob1","prob2","prob3","prob4","prob5","deaddrop","predicted","trueprediction","random","randompredicted"
"1",28.57,28.57,28.57,14.29,0,0,1,TRUE,FALSE,3,FALSE
"2",28.57,14.29,28.57,0,14.29,14.29,4,FALSE,FALSE,1,FALSE
"3",28.57,28.57,14.29,0,14.29,14.29,5,FALSE,FALSE,0,FALSE
"4",42.86,14.29,14.29,28.57,0,0,2,FALSE,FALSE,3,FALSE
"5",42.86,0,14.29,14.29,14.29,14.29,2,FALSE,FALSE,1,FALSE
"6",42.86,28.57,14.29,0,14.29,0,2,FALSE,FALSE,0,FALSE
"7",14.29,28.57,14.29,28.57,14.29,0,1,TRUE,FALSE,3,FALSE
"8",28.57,28.57,14.29,0,14.29,14.29,1,TRUE,FALSE,2,FALSE
"9",42.86,14.29,0,28.57,0,14.29,0,TRUE,TRUE,0,TRUE
"10",28.57,28.57,14.29,0,14.29,14.29,1,TRUE,FALSE,0,FALSE
"11",28.57,28.57,28.57,0,14.29,0,1,TRUE,FALSE,1,TRUE
"12",42.86,0,0,28.57,14.29,14.29,3,FALSE,FALSE,0,FALSE
"13",28.57,14.29,28.57,14.29,14.29,0,2,TRUE,FALSE,2,TRUE
"14",42.86,0,14.29,14.29,14.29,14.29,0,TRUE,TRUE,0,TRUE
"15",0,42.86,14.29,28.57,0,14.29,1,TRUE,TRUE,0,FALSE
"16",28.57,28.57,14.29,14.29,0,14.29,0,TRUE,FALSE,2,FALSE
"17",57.14,28.57,14.29,0,0,0,1,FALSE,FALSE,3,FALSE
"18",28.57,14.29,14.29,28.57,0,14.29,3,TRUE,FALSE,1,FALSE
"19",28.57,14.29,14.29,14.29,14.29,14.29,1,FALSE,FALSE,0,FALSE
"20",14.29,28.57,28.57,14.29,0,14.29,5,FALSE,FALSE,0,FALSE
"21",14.29,0,28.57,28.57,14.29,14.29,2,TRUE,FALSE,2,TRUE
"22",28.57,14.29,14.29,28.57,14.29,0,4,FALSE,FALSE,0,FALSE
"23",42.86,14.29,28.57,14.29,0,0,3,FALSE,FALSE,3,TRUE
"24",42.86,14.29,14.29,0,14.29,14.29,2,FALSE,FALSE,3,FALSE
"25",28.57,28.57,14.29,14.29,0,14.29,5,FALSE,FALSE,1,FALSE
"26",28.57,28.57,28.57,14.29,0,0,1,TRUE,FALSE,2,FALSE
"27",14.29,28.57,14.29,14.29,14.29,14.29,1,TRUE,TRUE,2,FALSE
"28",28.57,42.86,0,14.29,14.29,0,1,TRUE,TRUE,0,FALSE
"29",57.14,14.29,14.29,0,14.29,0,0,TRUE,TRUE,1,FALSE
"30",14.29,28.57,28.57,14.29,14.29,0,1,TRUE,FALSE,1,TRUE
"31",42.86,0,14.29,14.29,14.29,14.29,5,FALSE,FALSE,1,FALSE
"32",14.29,28.57,14.29,28.57,0,14.29,1,TRUE,FALSE,1,TRUE
"33",28.57,28.57,14.29,14.29,0,14.29,0,TRUE,FALSE,1,FALSE
"34",28.57,28.57,14.29,0,14.29,14.29,4,FALSE,FALSE,2,FALSE
"35",14.29,28.57,28.57,28.57,0,0,3,TRUE,FALSE,0,FALSE
"36",42.86,28.57,0,28.57,0,0,3,FALSE,FALSE,2,FALSE
"37",42.86,42.86,0,0,0,14.29,0,TRUE,FALSE,0,TRUE
"38",28.57,14.29,28.57,0,14.29,14.29,0,TRUE,FALSE,3,FALSE
"39",14.29,28.57,14.29,28.57,0,14.29,1,TRUE,FALSE,1,TRUE
"40",14.29,14.29,28.57,14.29,14.29,14.29,2,TRUE,TRUE,1,FALSE
"41",42.86,14.29,0,28.57,14.29,0,3,FALSE,FALSE,1,FALSE
"42",28.57,42.86,0,28.57,0,0,0,FALSE,FALSE,3,FALSE
"43",28.57,28.57,14.29,14.29,0,14.29,1,TRUE,FALSE,0,FALSE
"44",28.57,28.57,14.29,14.29,0,14.29,2,FALSE,FALSE,0,FALSE
"45",42.86,28.57,0,28.57,0,0,0,TRUE,TRUE,0,TRUE
"46",14.29,42.86,14.29,0,14.29,14.29,1,TRUE,TRUE,3,FALSE
"47",28.57,28.57,14.29,14.29,0,14.29,2,FALSE,FALSE,5,FALSE
"48",57.14,14.29,14.29,0,0,14.29,0,TRUE,TRUE,1,FALSE
"49",42.86,14.29,14.29,14.29,0,14.29,3,FALSE,FALSE,3,TRUE
"50",28.57,42.86,0,28.57,0,0,0,FALSE,FALSE,3,FALSE
"51",14.29,28.57,14.29,14.29,14.29,14.29,2,FALSE,FALSE,5,FALSE
"52",14.29,42.86,28.57,0,0,14.29,1,TRUE,TRUE,3,FALSE
"53",28.57,14.29,28.57,14.29,14.29,0,3,FALSE,FALSE,2,FALSE
"54",28.57,42.86,0,14.29,0,14.29,1,TRUE,TRUE,0,FALSE
"55",28.57,14.29,28.57,14.29,14.29,0,2,TRUE,FALSE,1,FALSE
"56",28.57,14.29,14.29,14.29,14.29,14.29,2,FALSE,FALSE,1,FALSE
"57",57.14,0,14.29,14.29,0,14.29,5,FALSE,FALSE,3,FALSE
"58",14.29,42.86,28.57,0,14.29,0,1,TRUE,TRUE,1,TRUE
"59",28.57,28.57,0,14.29,14.29,14.29,1,TRUE,FALSE,1,TRUE
"60",28.57,14.29,28.57,14.29,0,14.29,0,TRUE,FALSE,0,TRUE
"61",42.86,0,14.29,14.29,14.29,14.29,4,FALSE,FALSE,2,FALSE
"62",42.86,28.57,14.29,0,0,14.29,1,FALSE,FALSE,2,FALSE
"63",28.57,14.29,14.29,28.57,14.29,0,3,TRUE,FALSE,0,FALSE
"64",42.86,28.57,0,14.29,0,14.29,0,TRUE,TRUE,2,FALSE
"65",28.57,14.29,28.57,14.29,14.29,0,3,FALSE,FALSE,0,FALSE
"66",14.29,42.86,0,28.57,0,14.29,1,TRUE,TRUE,0,FALSE
"67",28.57,14.29,28.57,14.29,0,14.29,5,FALSE,FALSE,3,FALSE
"68",28.57,42.86,14.29,0,14.29,0,4,FALSE,FALSE,0,FALSE
"69",28.57,28.57,28.57,14.29,0,0,2,TRUE,FALSE,0,FALSE
"70",42.86,14.29,14.29,14.29,0,14.29,0,TRUE,TRUE,5,FALSE
"71",42.86,28.57,14.29,0,0,14.29,5,FALSE,FALSE,1,FALSE
"72",28.57,28.57,14.29,28.57,0,0,1,TRUE,FALSE,5,FALSE
"73",42.86,14.29,14.29,0,14.29,14.29,5,FALSE,FALSE,2,FALSE
"74",42.86,14.29,14.29,14.29,14.29,0,0,TRUE,TRUE,0,TRUE
"75",42.86,28.57,14.29,14.29,0,0,0,TRUE,TRUE,5,FALSE
"76",57.14,28.57,0,0,0,14.29,0,TRUE,TRUE,0,TRUE
"77",28.57,14.29,28.57,14.29,14.29,0,0,TRUE,FALSE,2,FALSE
"78",28.57,42.86,14.29,0,0,14.29,0,FALSE,FALSE,5,FALSE
"79",14.29,14.29,28.57,28.57,14.29,0,2,TRUE,FALSE,2,TRUE
"80",28.57,14.29,14.29,28.57,14.29,0,0,TRUE,FALSE,5,FALSE
"81",14.29,14.29,28.57,28.57,0,14.29,5,FALSE,FALSE,2,FALSE
"82",28.57,14.29,28.57,14.29,14.29,0,0,TRUE,FALSE,0,TRUE
"83",28.57,28.57,14.29,14.29,0,14.29,1,TRUE,FALSE,1,TRUE
"84",14.29,28.57,14.29,28.57,14.29,0,3,TRUE,FALSE,1,FALSE
"85",28.57,14.29,28.57,14.29,14.29,0,0,TRUE,FALSE,2,FALSE
"86",42.86,0,0,28.57,14.29,14.29,0,TRUE,TRUE,0,TRUE
"87",28.57,28.57,0,14.29,14.29,14.29,5,FALSE,FALSE,0,FALSE
"88",42.86,28.57,0,14.29,0,14.29,3,FALSE,FALSE,2,FALSE
"89",28.57,28.57,14.29,14.29,14.29,0,2,FALSE,FALSE,1,FALSE
"90",42.86,28.57,0,14.29,14.29,0,1,FALSE,FALSE,2,FALSE
"91",28.57,14.29,0,28.57,14.29,14.29,3,TRUE,FALSE,2,FALSE
"92",14.29,28.57,28.57,14.29,14.29,0,4,FALSE,FALSE,2,FALSE
"93",42.86,14.29,14.29,14.29,14.29,0,1,FALSE,FALSE,3,FALSE
"94",28.57,28.57,14.29,28.57,0,0,1,TRUE,FALSE,3,FALSE
"95",28.57,14.29,0,28.57,14.29,14.29,1,FALSE,FALSE,0,FALSE
"96",14.29,14.29,14.29,28.57,14.29,14.29,2,FALSE,FALSE,0,FALSE
"97",28.57,28.57,0,28.57,0,14.29,1,TRUE,FALSE,0,FALSE
"98",14.29,28.57,28.57,14.29,0,14.29,2,TRUE,FALSE,3,FALSE
"99",14.29,28.57,14.29,28.57,14.29,0,3,TRUE,FALSE,1,FALSE
"100",42.86,14.29,14.29,0,14.29,14.29,0,TRUE,TRUE,2,FALSE
